Date,SP500,FTSE100,NIKKEI225,EEM,GOLD_FUT,IEF
2010-01-01,1132.989990234375,8873.598735711537,114.6662747419578,30.785852432250977,1117.699951171875,63.32399368286133
2010-01-04,1132.989990234375,8863.017261616187,115.19314257716725,30.785852432250977,1117.699951171875,63.32399368286133
2010-01-05,1136.52001953125,8830.913190245628,116.63296593225604,31.009313583374023,1118.0999755859375,63.60206604003906
2010-01-06,1137.1400146484375,8861.185338497162,116.1965640464835,31.074180603027344,1135.9000244140625,63.34535598754883
2010-01-07,1141.68994140625,8806.226969959913,114.37691643709316,30.893972396850586,1133.0999755859375,63.34535598754883
2010-01-08,1144.97998046875,8868.058166907867,116.53701581835422,31.139060974121094,1138.199951171875,63.42375946044922
2010-01-11,1146.97998046875,8923.495747753419,117.25578743141544,31.074180603027344,1150.699951171875,63.46653366088867
2010-01-12,1136.219970703125,8881.333638881915,119.44597529342761,30.576826095581055,1128.9000244140625,63.92283630371094
2010-01-13,1145.6800537109375,8914.204746544361,117.4087083557446,30.670528411865234,1136.4000244140625,63.616233825683594
2010-01-14,1148.4599609375,8980.759342236794,119.51395237870727,30.591243743896484,1142.5999755859375,63.915740966796875
2010-01-15,1136.030029296875,8875.908836932853,121.01487172865014,30.238037109375,1130.0999755859375,64.20087432861328
2010-01-18,1136.030029296875,8984.972076936392,119.67454780876862,30.238037109375,1130.0999755859375,64.20087432861328
2010-01-19,1150.22998046875,9017.61608599918,118.03748600321157,30.850727081298828,1139.699951171875,64.0867919921875
2010-01-20,1138.0400390625,8834.851626411197,117.74628666049011,30.108295440673828,1112.300048828125,64.30779266357422
2010-01-21,1116.47998046875,8645.57851184858,120.23508930754589,29.200071334838867,1102.699951171875,64.5430679321289
2010-01-22,1091.760009765625,8543.167460680008,117.9217246696619,28.55134391784668,1089.199951171875,64.60013580322266
2010-01-25,1096.780029296875,8548.051144430647,116.27152931745546,28.7603702545166,1095.199951171875,64.45755004882812
2010-01-26,1092.1700439453125,8520.611318056297,115.19893551088727,28.1621036529541,1097.9000244140625,64.58588409423828
2010-01-27,1097.5,8440.917512178421,113.97532435742175,28.09002113342285,1084.4000244140625,64.43616485595703
2010-01-28,1084.530029296875,8306.751736460254,116.00046841345,27.895410537719727,1083.5999755859375,64.41474151611328
2010-01-29,1073.8699951171875,8293.770311951637,112.97264227654989,27.59266471862793,1083.0,64.66427612304688
2010-02-01,1089.18994140625,8370.927885576384,112.43961316717797,28.335098266601562,1104.300048828125,64.44253540039062
2010-02-02,1103.3199462890625,8449.089001722285,114.68892027633817,28.565757751464844,1117.4000244140625,64.54983520507812
2010-02-03,1097.280029296875,8363.104144470184,114.53468183139071,28.39997100830078,1111.4000244140625,64.24224090576172
2010-02-04,1063.1099853515625,8104.61709010147,115.82574705942787,27.116926193237305,1062.4000244140625,64.77156829833984
2010-02-05,1066.18994140625,7924.371301256935,112.72236837199566,26.814189910888672,1052.199951171875,64.97904205322266
2010-02-08,1056.739990234375,7931.808170976001,111.54248124119866,26.5474853515625,1065.699951171875,64.92184448242188
2010-02-09,1070.52001953125,8022.410841478151,110.6507958349053,27.412460327148438,1076.699951171875,64.57127380371094
2010-02-10,1068.1300048828125,8012.115223407745,110.79717781121299,27.340377807617188,1075.800048828125,64.3924331665039
2010-02-11,1078.469970703125,8104.606816291809,110.94522330739741,28.06119155883789,1094.199951171875,64.31381225585938
2010-02-12,1075.510009765625,8072.745028734207,112.19778512604744,27.70798683166504,1089.5,64.4639892578125
2010-02-15,1075.510009765625,8095.976980626583,111.19710677779968,27.70798683166504,1089.5,64.4639892578125
2010-02-16,1094.8699951171875,8280.462790885125,111.19021357129947,28.421594619750977,1119.300048828125,64.60704803466797
2010-02-17,1099.510009765625,8274.813295421249,113.1996675745967,28.522504806518555,1119.5,64.26374816894531
2010-02-18,1106.75,8212.931006319122,112.37255753732558,28.630634307861328,1118.0,64.03483581542969
2010-02-19,1109.1700439453125,8285.96267669613,110.59187215288526,28.385557174682617,1121.300048828125,64.0705795288086
2010-02-22,1108.010009765625,8288.577170593897,113.99648881443048,28.421594619750977,1112.5999755859375,64.02050018310547
2010-02-23,1094.5999755859375,8209.66311256052,114.81920129652315,27.765653610229492,1102.699951171875,64.5069580078125
2010-02-24,1105.239990234375,8237.207405940339,112.97012764841926,28.032358169555664,1096.5,64.54269409179688
2010-02-25,1102.93994140625,8046.036760325544,113.16187230664714,27.801694869995117,1107.800048828125,64.77874755859375
2010-02-26,1104.489990234375,8159.735487699509,113.87670566577432,28.082815170288086,1118.300048828125,64.87890625
2010-03-01,1115.7099609375,8097.392470554856,114.10049799449195,28.558557510375977,1117.800048828125,64.94628143310547
2010-03-02,1118.31005859375,8241.561782801407,115.18864198579543,28.882911682128906,1136.9000244140625,64.98221588134766
2010-03-03,1118.7900390625,8356.79379688215,115.763121641251,28.918956756591797,1142.699951171875,64.91761016845703
2010-03-04,1122.969970703125,8310.70415109396,113.79227579455743,28.76759147644043,1132.5999755859375,65.03237915039062
2010-03-05,1138.699951171875,8474.145344974822,114.92972534518316,29.51723289489746,1134.800048828125,64.72395324707031
2010-03-08,1138.5,8433.537509389338,117.2487379760312,29.538856506347656,1123.5999755859375,64.55184936523438
2010-03-09,1140.449951171875,8412.619902922888,117.43269262888343,29.704635620117188,1122.0,64.71678924560547
2010-03-10,1145.6099853515625,8444.01252085535,116.76710267864522,29.913679122924805,1107.800048828125,64.60922241210938
2010-03-11,1150.239990234375,8466.419726728927,117.65234629040397,29.920883178710938,1108.0,64.55184936523438
