Date,EEM__ma21,EEM__ma5,EEM__mom21,EEM__ret,EEM__rsi14,EEM__vol21,FTSE100__ma21,FTSE100__ma5,FTSE100__mom21,FTSE100__ret,FTSE100__rsi14,FTSE100__vol21,GOLD_FUT__ma21,GOLD_FUT__ma5,GOLD_FUT__mom21,GOLD_FUT__ret,GOLD_FUT__rsi14,GOLD_FUT__vol21,IEF__ma21,IEF__ma5,IEF__mom21,IEF__ret,IEF__rsi14,IEF__vol21,NIKKEI225__ma21,NIKKEI225__ma5,NIKKEI225__mom21,NIKKEI225__ret,NIKKEI225__rsi14,NIKKEI225__vol21,SP500__ma21,SP500__ma5,SP500__mom21,SP500__ret,SP500__rsi14,SP500__vol21
2010-02-01,-1.4984090563514099,-0.5120716628067522,-1.4771554254856878,1.9001619435157586,-1.347881298189441,0.23908934700597861,-1.2881929179560068,-0.8159973373980868,-1.2900214389422309,0.7795722856691186,-1.5480778195271716,-0.3092656794421536,-0.2790524716505543,0.343547987577757,-0.3010479400695464,1.8046063907590046,-0.5700852634772527,0.22273834891123254,0.8209179209162737,-0.12001863898856206,0.8180605859212601,-0.9013041938942515,0.5096598693348395,-0.5272742038012292,-0.5521346073810536,-1.434099988206007,-0.5733727961231974,-0.3750949383754539,-1.2831438736163912,0.5024191546038334,-1.3037747396943662,-0.4481166453428339,-1.3104978894775399,1.444060766967209,-1.3221995761709868,0.2572462156062182
2010-02-02,-1.3531867731520526,0.4674759665168783,-1.3419488015648466,0.5757655696137622,-1.2429960864762282,0.2800220068282029,-1.057956556186727,-0.3322768900619132,-1.0689654357757585,0.782432248502562,-1.3735182074889298,-0.23177660432456182,-0.02843484759502432,0.743749557789563,-0.051968326031177896,1.0906383229891836,-0.438609318090577,0.31098875414452953,0.9183148935032046,-0.15816813428922707,0.9169031043096982,0.3767595005782625,1.1759376756251283,-0.5282166255854582,-0.1998725868118406,-0.22802210399753528,-0.2229121661908225,1.4835726378321301,-0.6012637027913275,0.6255773510863122,-0.9525171560288603,0.39963064050851355,-0.9684550089202075,1.3099358886811934,-1.2035253963729058,0.37792974139445934
2010-02-03,-1.5869934226028661,0.3579230407996304,-1.5590936658074726,-0.42436657668698907,-1.272307439238585,0.2413901841609092,-1.2028579008926374,-0.3644452582414978,-1.2083592978757396,-0.8685232722016609,-1.7551746502923478,-0.19928157859674264,-0.150459626730224,1.0434905697281622,-0.1736111904466438,-0.5054127492857706,-0.6807163821950183,0.32711561791833943,0.3821559824379323,-0.4461298148619763,0.3748199534876204,-1.2376014095311438,0.2881155036944659,-0.4189172757067092,-0.5184570744067549,0.15911924289141455,-0.5400976509814638,-0.11878086994030146,-1.0262025717846461,0.5732053427303212,-1.1868842361649987,-0.11381059433391168,-1.197162929418098,-0.6222577155164252,-1.3541779299453869,0.3751950045418547
2010-02-04,-2.452504071727484,-0.9629238922516535,-2.338703644219844,-3.3260459795552664,-1.5396660211216582,0.7236316860556742,-1.9672603535414002,-0.9589254100712035,-1.928671299691809,-2.658500194811023,-1.9327182271730223,0.1702397677569108,-1.4443522643782079,-0.8588316306601322,-1.4213842059655497,-4.194811000396295,-1.1207629776791617,1.148534002342268,1.0993256667537086,0.5550636008219667,1.1010377649326237,2.0166529649789555,0.5616874849273821,-0.21494950576702904,-0.172326204077538,-0.1064911611680158,-0.19528108256313698,0.8322711202073343,-1.0708190608844221,0.6129910186432582,-2.0638680163465155,-1.0927310576648432,-2.0357303547954233,-3.371072454785224,-1.6005971652399522,0.8151715650656016
2010-02-05,-2.549421883500711,-0.9735061218175376,-2.4236802628925584,-0.8125767897536008,-1.6114146078532505,0.7293028246975509,-2.3244453073802083,-1.7681583743986755,-2.2567523258405187,-1.9054603148322895,-2.487007241933564,0.3138329013045132,-1.596923134523391,-1.2488665614390992,-1.5635722133341463,-0.9015489890336228,-1.2124055415901178,1.1666115273489783,1.2865509852458603,0.47669387797204843,1.2920941487329838,0.7613771989920792,0.7551300475278365,-0.19683197397220434,-0.43554786432642273,-0.13596232287454582,-0.4579724017241534,-2.0741644365281244,-1.2834317511306719,0.758720043997356,-2.0938524136474954,-0.4596695348699414,-2.0639269093152484,0.25898190974239194,-1.5296124635996524,0.8080999033903715
2010-02-08,-2.8700159292105067,-2.202537261664643,-2.701520484859662,-0.7242037637216049,-2.09998386969311,0.6685019481260484,-2.4574605441866195,-2.0899664020535798,-2.3775717381876404,0.07581740606994979,-2.585841672953518,0.2644350078707294,-1.4214307796640435,-1.5374440428411358,-1.3999342528873078,1.1794462067493436,-1.1321112696028104,1.2573313486602091,1.1625797376005593,0.7762157164116845,1.1655178296536983,-0.2610102339711253,0.8457937146058012,-0.17149037316697224,-1.111987489148691,-0.37626594772688066,-1.119500889013352,-0.813919967577777,-1.2314846768868712,0.6619227980091084,-2.41488452653594,-1.6031854232846963,-2.363880926563427,-0.9811182555055176,-1.9587944643038622,0.8021209373069828
2010-02-09,-2.2583441209947477,-1.39696451409971,-2.167076570624225,2.2959152264055285,-1.328161670925056,1.060076960795638,-2.3449219532890306,-2.0101501616759196,-2.275399224189615,0.9569806245837034,-2.094919608673501,0.3282445741226392,-1.4353173804880388,-1.602808059823858,-1.4129321129664771,0.9490369038971646,-0.6266976635242257,1.2491600647277723,0.8061237837902822,-0.05376328307631113,0.803061257924755,-1.3975035815519055,0.12380552437798666,0.06586495806217368,-1.4400035425931776,-1.530845746495537,-1.4333905780182798,-0.6248371467577049,-1.2992942936572163,0.6489860114419389,-2.109379612858963,-1.5998977895255195,-2.078516099248231,1.316908332621068,-1.5108820055100984,0.9178195968976699
2010-02-10,-2.0164966437450196,-1.2897715514260288,-1.9506779211956145,-0.19547609037027938,-1.0650263598346517,1.0349280109191548,-2.2691387740240825,-1.664260812494385,-2.2063008492981067,-0.11210548156493336,-1.9004720245583946,0.3342408947157757,-1.0466143401526065,-1.4077403791579297,-1.0458783029467622,-0.08282763783851052,-0.5117904369245776,1.1264772423789597,0.22434887334270331,0.18111859465665714,0.2162125202298244,-0.7354896156422612,-0.3679359002671539,-0.11960665243014389,-1.8376558865957762,-1.420180844344339,-1.8079990455317538,0.08330733804246586,-1.8383829239473866,0.5071779933109065,-1.9134317135369376,-1.43857888671217,-1.893794687011005,-0.2801311014528404,-1.2863026807090316,0.89964099813413
2010-02-11,-1.605177779860424,1.13997331597504,-1.575863653227329,1.86221890699319,-0.3471771194490203,1.2502626815571845,-2.0982566963857296,-0.006363391834804427,-2.049614146181153,0.9671191166973924,-1.366303620077823,0.4170810557330468,-0.8269328195368585,1.2536287399660924,-0.8354434679424925,1.5706492848131308,0.018015857200671462,1.2586315622091415,0.4343028518772312,-0.9243392145995816,0.42732533845574644,-0.34650680294985414,-0.5284598868751812,-0.27054946811576247,-1.4086710124220918,-1.829769018120905,-1.4035992571240854,0.08431094095962162,-1.5469701334902324,0.44915440002083445,-1.8768487145319794,0.6072152560392865,-1.859160268129005,0.9676665951604425,-0.6551005262630697,0.9144847489715097
2010-02-12,-1.7857046235541834,1.091550542144393,-1.7414289978136,-0.9159745499651688,-0.6244246196256821,1.2652025372514444,-2.3480410443400044,0.7110262936531898,-2.278238074138515,-0.3366166305545002,-1.438933672612744,0.3527938958244467,-1.0340410014890078,1.4827885999355854,-1.0338927913186882,-0.4051082427559558,-0.15600030825649697,1.2355240705607922,0.2958681087051089,-1.0258498726201506,0.2880414965217622,0.5443757892217811,-0.17904719899430632,-0.3620978991344437,-1.5601334666193103,-0.23746089152980607,-1.5472383768017388,0.8335930331305605,-0.9935234840781335,0.3732715540369284,-2.0177889794917125,0.3275689158991852,-1.9923382978607636,-0.33409462263462514,-0.8250462387360817,0.9008112723080233
