Price,Close,High,Low,Open,Volume
Ticker,IEF,IEF,IEF,IEF,IEF
Date,,,,,
2010-01-04,63.32399368286133,63.416674895229185,63.18853192379043,63.266956580162265,619100
2010-01-05,63.60206604003906,63.70187828661866,63.4951227931725,63.4951227931725,1547500
2010-01-06,63.34535598754883,63.59488641319939,63.29544990241872,63.55924231773807,365500
2010-01-07,63.34535598754883,63.4879486874601,63.31683744756657,63.35961797721762,390900
2010-01-08,63.42375946044922,63.55209012789264,63.32394732347696,63.54495913543648,382500
2010-01-11,63.46653366088867,63.55922024347957,63.40237104772891,63.45940810788432,653600
2010-01-12,63.92283630371094,63.96561138691374,63.79450561474809,63.88005578115371,403000
2010-01-13,63.616233825683594,63.929926662061256,63.594840856505435,63.79447049337486,281900
2010-01-14,63.915740966796875,64.00129118092846,63.73037310391599,63.8016667621448,511700
2010-01-15,64.20087432861328,64.27216793497121,64.13670627534371,64.15096826022739,429200
2010-01-19,64.0867919921875,64.13669805417634,63.95846134145152,64.06540445695697,411900
2010-01-20,64.30779266357422,64.39334822906592,64.25788661020869,64.2650176005043,228800
2010-01-21,64.5430679321289,64.5929739866875,64.20798209179901,64.22224407273117,349200
2010-01-22,64.60013580322266,64.65004188159556,64.47180511035597,64.49319265260799,272900
2010-01-25,64.45755004882812,64.54310021980959,64.45041905479476,64.45755004882812,1699000
2010-01-26,64.58588409423828,64.671439716217,64.4646843759517,64.65718316556493,490600
2010-01-27,64.43616485595703,64.74273236419371,64.37913321486015,64.62153264774919,342100
2010-01-28,64.41474151611328,64.48603510738391,64.22937382732776,64.22937382732776,318100
2010-01-29,64.66427612304688,64.66427612304688,64.27215862519948,64.3505832126395,396700
2010-02-01,64.44253540039062,64.56414273886466,64.37100520313804,64.56414273886466,634300
2010-02-02,64.54983520507812,64.55698986222195,64.44969183468199,64.4711503487091,426000
2010-02-03,64.24224090576172,64.41391990731711,64.22078239491819,64.36384822954768,435300
2010-02-04,64.77156829833984,64.80017600432464,64.52120448304831,64.52120448304831,503400
2010-02-05,64.97904205322266,65.0934947734782,64.68576650802848,64.72868354942126,694700
2010-02-08,64.92184448242188,64.93614834889136,64.77877853068672,64.86461810172781,257600
2010-02-09,64.57127380371094,64.90032244198787,64.55696995123932,64.75010197532102,481200
2010-02-10,64.3924331665039,64.7071724339768,64.29944449993312,64.67141008101956,496200
2010-02-11,64.31381225585938,64.39964634688465,64.1421331589956,64.39964634688465,496900
2010-02-12,64.4639892578125,64.5712818081567,64.44967994616437,64.52121013219494,219800
2010-02-16,64.60704803466797,64.62850654420699,64.31377264196279,64.3352311515018,175400
2010-02-17,64.26374816894531,64.53557073225204,64.14930087182226,64.44257650484386,358000
2010-02-18,64.03483581542969,64.30665832651603,63.88462069702196,64.30665832651603,474300
2010-02-19,64.0705795288086,64.0705795288086,63.84883426477723,63.99189466917077,527900
2010-02-22,64.02050018310547,64.07772652097906,63.96327384523189,63.97758315840226,349700
2010-02-23,64.5069580078125,64.54272585821268,64.0777710900491,64.0992296173261,557200
2010-02-24,64.54269409179688,64.64998667537499,64.41393753409807,64.52838477571642,394300
2010-02-25,64.77874755859375,64.82167005229616,64.67860416896384,64.78590221711173,256600
2010-02-26,64.87890625,65.02912682728001,64.81453068037148,64.82168534057688,609900
2010-03-01,64.94628143310547,64.9964881667009,64.83869401193711,64.95344991495942,468600
2010-03-02,64.98221588134766,64.99656380599997,64.78138871325471,64.81007909042941,417900
2010-03-03,64.91761016845703,64.95346900463629,64.76698992340378,64.84588702397336,476700
2010-03-04,65.03237915039062,65.11127626678659,64.81720967377765,64.88893283264865,431100
2010-03-05,64.72395324707031,64.78850790917713,64.58768091084534,64.77415999665325,549900
2010-03-08,64.55184936523438,64.60923010020309,64.53033295765312,64.55902332513747,399800
2010-03-09,64.71678924560547,64.71678924560547,64.55182107290608,64.68092493393692,350500
2010-03-10,64.60922241210938,64.62356485808085,64.46577059175743,64.50163491487727,329800
2010-03-11,64.55184936523438,64.6522629153656,64.44426185520003,64.48730014249061,283100
